id,itemName,vendor_id,description
33,PCE - Entire Estate,,
34,PCE - Rose + Markisa + Marie,,
35,PCE - Pala + Rose,,
36,PCE - Markisa + Marie,,
37,PCE - Villa Markisa ,,
38,PCE - Rose + Markisa,,
39,PCE - Villa Rose ,,
40,PCE - Pala + Rose + Markisa,,
41,PCE - The Pala ,,
42,SKY is the Limit - 300,,
43,SKY is the Limit - 200,,
44,SKY is the Limit - 100,,
45,AYANA Villa Wedding,,
46,Tresna Dream Wedding,,
47,Bale Kencana / Asmara Garden,,
48,Sweet Escape at Kisik Pier,,
49,Wedding organiser fee,,
50,Tea ceremony,,
51,Make up and hair do,,
52,Make up and hair do (up to 8 hours),,
